category,orders,revenue,avg_rating
beleza_saude,8647,1237439.95,4.19
relogios_presentes,5495,1167246.63,4.07
cama_mesa_banho,9272,1037177.69,3.92
esporte_lazer,7530,960189.09,4.17
informatica_acessorios,6530,896243.28,3.98
moveis_decoracao,6307,718344.78,3.95
utilidades_domesticas,5743,617836.73,4.11
cool_stuff,3559,612071.86,4.19
automotivo,3810,580263.44,4.12
brinquedos,3804,472109.78,4.21
ferramentas_jardim,3448,471671.27,4.08
bebes,2809,400774.42,4.08
perfumaria,3086,391175.73,4.22
telefonia,4093,310004.11,4.0
moveis_escritorio,1254,269418.1,3.52
papelaria,2264,224145.67,4.24
pcs,177,218684.14,4.22
pet_shop,1688,211971.64,4.22
instrumentos_musicais,611,184340.64,4.22
eletroportateis,609,183677.02,4.23
eletronicos,2517,155173.83,4.07
fashion_bolsas_e_acessorios,1820,150162.75,4.19
consoles_games,1018,148538.37,4.14
construcao_ferramentas_construcao,736,142940.29,4.09
malas_acessorios,1019,138701.63,4.35
eletrodomesticos_2,227,108221.6,4.16
eletrodomesticos,747,81856.55,4.23
casa_construcao,483,81527.42,3.96
agro_industria_e_comercio,177,70566.1,4.09
moveis_sala,414,67861.4,3.94
casa_conforto,392,58265.15,3.85
telefonia_fixa,212,55355.2,3.76
climatizacao,246,53323.56,4.05
audio,348,50620.5,3.83
portateis_casa_forno_e_cafe,72,46589.56,4.44
moveis_cozinha_area_de_servico_jantar_e_jardim,241,45531.98,4.03
livros_interesse_geral,496,45302.15,4.51
construcao_ferramentas_iluminacao,242,40185.0,4.09
construcao_ferramentas_seguranca,159,38773.22,3.97
industria_comercio_e_negocios,232,38574.81,4.13
alimentos,441,28731.15,4.26
market_place,274,27795.77,4.07
construcao_ferramentas_jardim,190,25150.13,4.12
artes,195,23657.3,4.08
fashion_calcados,235,23206.16,4.29
bebidas,287,21607.04,4.13
sinalizacao_e_seguranca,138,21315.05,4.09
moveis_quarto,90,19051.8,4.25
livros_tecnicos,256,18755.2,4.39
construcao_ferramentas_ferramentas,97,15903.95,4.44
alimentos_bebidas,221,15033.87,4.37
fashion_roupa_masculina,106,10452.33,3.76
fashion_underwear_e_moda_praia,117,9305.95,4.05
artigos_de_natal,125,8737.84,4.07
tablets_impressao_imagem,79,7528.41,4.12
cine_foto,63,6690.37,4.3
musica,38,6034.35,4.21
dvds_blu_ray,56,4542.59,4.18
artigos_de_festas,38,4465.19,3.83
livros_importados,50,4418.86,4.51
moveis_colchao_e_estofado,37,4323.38,3.89
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,3.43
fashion_roupa_feminina,36,2700.84,3.96
fashion_esporte,26,2119.51,4.37
la_cuisine,13,2054.99,4.0
artes_e_artesanato,23,1814.01,4.13
fraldas_higiene,25,1500.79,3.38
pc_gamer,7,1306.95,3.63
flores,29,1110.04,4.42
casa_conforto_2,24,760.27,3.63
cds_dvds_musicais,12,730.0,4.64
fashion_roupa_infanto_juvenil,7,519.95,5.0
seguros_e_servicos,2,283.29,2.5
