month,orders,revenue,product_revenue,freight_revenue
2017-01,750,127482.37,111798.36,15684.01
2017-02,1653,271239.32,234223.4,37015.92
2017-03,2546,414330.95,359198.85,55132.1
2017-04,2303,390812.4,340669.68,50142.72
2017-05,3546,566851.4,489338.25,77513.15
2017-06,3135,490050.37,421923.37,68127.0
2017-07,3872,566299.08,481604.52,84694.56
2017-08,4193,645832.36,554699.7,91132.66
2017-09,4150,701077.49,607399.67,93677.82
2017-10,4478,751117.01,648247.65,102869.36
2017-11,7289,1153364.2,987765.37,165598.83
2017-12,5513,843078.29,726033.19,117045.1
2018-01,7069,1077887.46,924645.0,153242.46
2018-02,6555,966168.41,826437.13,139731.28
2018-03,7003,1120598.24,953356.25,167241.99
2018-04,6798,1132878.93,973534.09,159344.84
2018-05,6749,1128774.52,977544.69,151229.83
2018-06,6099,1011978.29,856077.86,155900.43
2018-07,6159,1027807.28,867953.46,159853.82
2018-08,6351,985491.64,838576.64,146915.0
