state,orders,revenue,avg_delivery_days,late_pct
SP,40494,5768518.23,8.7,5.8
RJ,12350,2055401.57,15.1,13.0
MG,11354,1818891.67,12.0,5.4
RS,5344,861278.79,15.2,6.9
PR,4923,781708.8,11.9,4.8
SC,3546,595127.78,15.0,9.6
BA,3256,591137.81,19.2,13.7
DF,2080,346123.35,13.0,7.4
GO,1957,334212.35,15.4,7.9
ES,1995,317657.93,15.6,12.2
PE,1593,308972.05,18.3,10.2
CE,1279,266436.77,21.0,15.3
PA,946,212023.57,23.8,12.4
MT,886,181224.42,18.0,6.8
MA,717,147803.55,21.6,20.4
PB,517,137838.55,20.6,11.3
MS,701,134367.55,15.5,10.9
PI,476,105178.19,19.4,15.5
RN,474,100714.78,19.3,10.4
AL,397,94172.49,24.5,24.1
SE,335,70289.13,21.5,16.3
TO,274,60007.37,17.4,12.3
RO,243,56966.0,19.7,4.0
AM,145,27585.47,26.4,4.3
AC,80,19575.33,20.7,3.3
AP,67,16141.81,28.2,4.9
RR,41,9039.52,28.2,10.9
